date,ind,rain,ind,maxt,ind,mint,gmin,soil
24-Oct-42,0,4.6, , , , , , 
25-Oct-42,0,4.4, , , , , , 
26-Oct-42,0,0.2, , , , , , 
27-Oct-42,0,0.1, , , , , , 
28-Oct-42,0,0.7, , , , , , 
29-Oct-42,0,3.3, , , , , , 
30-Oct-42,0,1.8, , , , , , 
31-Oct-42,0,2.4, , , , , , 
01-Nov-42,0,1.8, , , , , , 
02-Nov-42,0,0.1, , , , , , 
03-Nov-42,0,0, , , , , , 
04-Nov-42,0,0.2, , , , , , 
05-Nov-42,0,0.4, , , , , , 
06-Nov-42,0,3.7, , , , , , 
07-Nov-42,0,0, , , , , , 
08-Nov-42,0,0, , , , , , 
09-Nov-42,0,0, , , , , , 
10-Nov-42,0,4.4, , , , , , 
11-Nov-42,0,0.1, , , , , , 
12-Nov-42,0,0, , , , , , 
13-Nov-42,0,0, , , , , , 
14-Nov-42,0,0, , , , , , 
15-Nov-42,0,0, , , , , , 
16-Nov-42,0,0, , , , , , 
17-Nov-42,0,0, , , , , , 
18-Nov-42,0,0, , , , , , 
19-Nov-42,0,0, , , , , , 
20-Nov-42,0,0.2, , , , , , 
21-Nov-42,0,0, , , , , , 
22-Nov-42,0,0, , , , , , 
23-Nov-42,0,0, , , , , , 
24-Nov-42,0,0, , , , , , 
25-Nov-42,0,0, , , , , , 
26-Nov-42,0,0.3, , , , , , 
27-Nov-42,4,0, , , , , , 
28-Nov-42,4,0, , , , , , 
29-Nov-42,0,0, , , , , , 
30-Nov-42,4,0, , , , , , 
01-Dec-42,0,5.9, , , , , , 
